	logFC	logCPM	PValue	FDR
FGRRES_15124	-3.011109	2.137785	0.0001190885	0.0005688677
FGRRES_15125	-3.132037	0.8215576	0.03765422	0.07882636
FGRRES_15135	-0.8007862	1.045619	0.2636277	0.3739955
FGRRES_15146	-1.870919	2.10856	0.01185874	0.02998669
FGRRES_15147	-0.3011319	1.111786	0.8000009	0.8599851
FGRRES_15153	2.370271	3.428523	0.000158049	0.0007320982
FGRRES_15155	1.294818	0.9319574	0.1306176	0.2156621
FGRRES_15157	0.5777015	1.462947	0.3847735	0.5014947
FGRRES_15158	-2.21041	0.3958012	0.06120897	0.1171193
FGRRES_15218	1.724242	3.643576	0.007135578	0.01950691
FGRRES_15232	0.3704729	1.01707	0.5804204	0.680174
FGRRES_15237	-2.023581	3.059293	0.003743949	0.01124324
FGRRES_15238	-3.503848	1.359012	0.002519765	0.008052713
FGRRES_15239	0.5761794	1.38102	0.4352409	0.5502155
FGRRES_15272	-5.11641668419571	5.6389336272938	2.94996682521298e-17	9.25317628729377e-16
FGRRES_15273	3.9918272413144	11.6079494357921	3.86842246276479e-09	5.23491134518532e-08
FGRRES_15276	0.4829915	2.291449	0.4939399	0.603346
FGRRES_15279	-2.109706	3.850064	0.004920924	0.01416626
FGRRES_15283_M	-2.105237	3.308082	0.001772556	0.005937517
FGRRES_15284	-5.21651807439335	1.42929347521843	1.03658432808155e-05	6.49916216791975e-05
FGRRES_15286	-6.9812435687151	4.28441097704423	2.09710206112786e-20	7.957989045252e-19
FGRRES_15288	-4.16025	1.439197	0.0005947158	0.002312594
FGRRES_15294	-1.743876	1.180982	0.03066326	0.06622654
FGRRES_15296_M	-0.7171351	3.122024	0.2366637	0.3433431
FGRRES_15301_M	3.83808538750006	2.16313075873828	7.3314179139577e-06	4.79324570001102e-05
FGRRES_15311	-0.2046408	3.215046	0.7290824	0.8036493
FGRRES_15336	-0.6986607	0.2813784	0.6154406	0.7087624
FGRRES_15340_M	0.1900318	2.468282	0.7973693	0.8584316
FGRRES_15346	1.366257	1.933309	0.04724506	0.09495382
FGRRES_15368	-1.266904	2.5351	0.05300206	0.1041143
FGRRES_15369	0.8443227	0.1102844	0.3414498	0.4571055
FGRRES_15372_06616_M	0.4808352	7.65037	0.4153931	0.5313839
