	logFC	logCPM	PValue	FDR
FGRRES_04577	-0.9167563	4.415613	0.1312355	0.2163601
FGRRES_04578	0.185894	3.927803	0.7720086	0.8389276
FGRRES_04587_M	-0.05133905	5.862599	0.9282777	0.949538
FGRRES_04605	0.9841429	2.289997	0.170741	0.2658231
FGRRES_04610	-0.6267392	7.048366	0.313408	0.4270454
FGRRES_04611	-1.303239	3.542634	0.07796302	0.1421116
FGRRES_04613	2.564145	-0.2327194	0.02359265	0.05326629
FGRRES_04622_M	-0.9625143	4.592368	0.09017417	0.1595853
FGRRES_04629	1.220413	2.60629	0.05870006	0.1131164
FGRRES_04630	-1.187613	1.129054	0.1497453	0.2395615
FGRRES_04633_M	1.542454	0.2886155	0.09957637	0.173551
FGRRES_04635	0.4817604	2.945985	0.5110212	0.6189167
FGRRES_04639	-1.093238	4.398053	0.04384748	0.08941689
FGRRES_04642	0.05149314	0.3008064	0.917277	0.941836
FGRRES_04658_M	-0.5227488	3.625788	0.2272669	0.3330322
FGRRES_04659	1.159536	3.834013	0.05353022	0.1050195
FGRRES_04660_M	-0.8448351	0.1955668	0.5648856	0.6663084
FGRRES_04662	0.6811524	4.720916	0.1705658	0.2656546
FGRRES_04666	1.885666	0.7754343	0.02952521	0.06417728
