	logFC	logCPM	PValue	FDR
FGRRES_09102	-1.545348	1.192247	0.1356803	0.2219349
FGRRES_09103	9.44413889036624	2.83283537872442	3.46752672930179e-13	7.61802987714825e-12
FGRRES_09108	-0.4065461	1.078549	0.52715	0.6326658
FGRRES_09110	0.005627582	0.1149221	0.2396987	0.3463059
FGRRES_09111	-0.2329123	2.314365	0.7615225	0.8310392
FGRRES_09114	-1.420226	4.035458	0.02512006	0.05632809
FGRRES_09115	-2.18605	1.977659	0.002376945	0.007666265
FGRRES_09121	2.329732	3.439744	0.01556444	0.03765513
FGRRES_09122	2.747364	3.632879	0.0004649978	0.001877463
FGRRES_09123	-0.08324253	3.35038	0.8634936	0.9044099
FGRRES_09124	2.767582	1.866343	0.001403942	0.004843289
FGRRES_09125	3.224795	2.582462	0.0003360963	0.001413819
FGRRES_09128	3.135064	0.1000914	0.004583421	0.0133828
FGRRES_09129	-2.317916	4.566662	6.783398e-05	0.0003456348
FGRRES_09135_M	-0.3958677	5.63529	0.4413004	0.5552965
FGRRES_09136	-2.058711	4.648145	0.0002656309	0.001156638
FGRRES_09137	1.299642	2.141425	0.06048951	0.1159267
FGRRES_09138	-0.3136308	1.105038	0.4876857	0.5977923
FGRRES_09139_40_17163_M	-0.7193409	6.340521	0.2036922	0.3055947
FGRRES_09141_M	-2.006437	4.955013	0.002939948	0.00920002
FGRRES_09142	-1.89242	4.518011	0.0008645037	0.003208775
FGRRES_09145	-1.520302	4.04982	0.04055955	0.0838782
FGRRES_09146_M	-1.114594	1.766252	0.08938501	0.158616
FGRRES_09147	0.06958515	3.642599	0.9095966	0.9371999
FGRRES_09148	-0.3088887	2.095318	0.6736094	0.7584483
FGRRES_09153_M	-1.699689	2.983732	0.008309946	0.02215373
FGRRES_09154	-3.07720247511443	5.01171951507546	3.55153991875001e-05	0.00019359549341132
FGRRES_09155	-1.85201	6.357452	0.002022219	0.006654683
FGRRES_09156	-0.9332744	6.288094	0.1315086	0.2167116
FGRRES_09157	-1.390228	6.050042	0.009041799	0.0237547
FGRRES_09158	0.6529262	6.820851	0.2903886	0.402947
FGRRES_09159	-2.94168889492022	6.43440565582598	1.18488121673874e-06	9.53970018194771e-06
FGRRES_09160	-2.683597	1.744507	0.0008751714	0.003240612
FGRRES_09161	0.7396052	0.8297758	0.3117306	0.4252938
FGRRES_09162	-1.492825	5.570317	0.01012052	0.02623938
FGRRES_09163	-0.8483376	6.487956	0.1168136	0.1971968
FGRRES_09164	0.6882458	4.374894	0.1972664	0.298471
FGRRES_09165	0.6424165	6.015995	0.2217955	0.3264782
FGRRES_09166	0.6433041	4.157343	0.2919275	0.4045313
FGRRES_09167	-0.8425059	4.904436	0.1339351	0.2197426
FGRRES_09168	0.6060851	1.348524	0.3699294	0.4856471
FGRRES_09169	1.984751	5.341997	0.000214208	0.0009578901
FGRRES_09170	-2.924013	5.805086	0.0002381916	0.001051706
FGRRES_09171	-2.34581	5.053809	0.006523895	0.0180346
FGRRES_09173	-3.20020434233273	3.04481849987525	7.74632975071304e-06	5.02816487945506e-05
FGRRES_09175	0.9402992	0.4998747	0.1162673	0.196611
FGRRES_09176	-4.58570132991364	1.62967252482601	3.96453386386911e-06	2.78853441507268e-05
FGRRES_09177	-2.315111	4.192689	0.0001005773	0.0004901506
FGRRES_09178	-3.69893750586007	7.76657416226054	1.68623875308793e-08	2.02218223063682e-07
FGRRES_09179	-2.72549471761952	3.455982089062	3.39081831787452e-05	0.000185486649213166
FGRRES_09180	-1.845204	4.78006	0.0009965398	0.003613581
FGRRES_09184	-1.655531	0.9987548	0.0218669	0.05008895
FGRRES_09185_M	0.8787046	7.01057	0.1225264	0.2048019
FGRRES_09187	-5.39602919943518	5.00507423604542	3.52036776365236e-14	8.52824806672301e-13
FGRRES_09189	0.03537125	2.174277	0.4031403	0.5200689
FGRRES_09195	-0.287542	2.829253	0.6263303	0.718103
FGRRES_09196	-0.3728128	1.892123	0.5599624	0.6617238
FGRRES_09197	-0.7375715	7.182917	0.1968959	0.2980528
FGRRES_09202	1.868525	2.476482	0.005610482	0.01579932
FGRRES_09204	-0.06907288	7.149456	0.9086348	0.9365955
FGRRES_09205	0.9316533	7.357337	0.1128862	0.1919402
FGRRES_09206	-0.4721501	4.325543	0.3879265	0.5045656
FGRRES_09210	-10.023598735693	10.6766267725174	0	0
FGRRES_09211	-3.52852686639462	4.99058869123735	1.57718041747035e-09	2.27621530196885e-08
FGRRES_09212	-0.3495096	7.201503	0.561807	0.6633981
FGRRES_09214	2.471239	3.029552	0.0001787454	0.0008147519
FGRRES_09216	2.4794998647523	5.98588985053457	5.50791791586856e-06	3.71750206100258e-05
FGRRES_09217	-1.81352	5.183364	0.0008958305	0.00330808
FGRRES_09218	0.9301945	5.788114	0.07716974	0.1409734
FGRRES_09220	0.1212628	6.005215	0.8201141	0.8730741
FGRRES_09221	-0.8358511	6.982438	0.1403914	0.2276561
FGRRES_09222	-0.5111732	1.577564	0.5561728	0.6580805
FGRRES_09223	-1.226743	7.346432	0.06487739	0.122668
FGRRES_09224	0.10814	0.6109144	0.8874286	0.9207708
FGRRES_09226	1.511997	6.620735	0.01129123	0.0287324
FGRRES_09227	-1.889394	7.632894	0.001544507	0.005262961
FGRRES_09229	0.1453164	4.712547	0.8119064	0.867798
FGRRES_09230	-0.4421806	5.969747	0.394203	0.5107791
FGRRES_09231	0.00120342	4.640793	0.9785059	0.9813244
FGRRES_09232	-1.715665	3.782654	0.02495791	0.05597608
FGRRES_09233_M	0.7687178	6.963941	0.1975015	0.2987256
FGRRES_09235	2.72033530792791	6.33605315756496	3.95375857409101e-06	2.78275887189428e-05
FGRRES_09236	3.352917	1.723317	0.0001066717	0.000517296
FGRRES_09237_M	-1.055883	5.85621	0.05242838	0.1031928
FGRRES_09238	0.5006847	6.060107	0.3464319	0.4623494
FGRRES_09239	0.3157039	5.168532	0.5459433	0.6496133
FGRRES_09240	-1.427085	5.2689	0.01188019	0.03003395
FGRRES_09241	-0.003054784	7.423448	0.9798819	0.9813244
FGRRES_09243	-0.7824109	3.924062	0.1790084	0.2762375
FGRRES_09244	-0.4791772	6.318381	0.3664962	0.4824236
FGRRES_09245	0.2456859	6.103399	0.6722925	0.7577093
FGRRES_09249	-3.27462779269248	6.96649155551342	2.2350398245522e-06	1.66480942247858e-05
FGRRES_09250	0.5223452	8.194498	0.3712143	0.4868038
FGRRES_09251	2.049241	2.999573	0.002247811	0.007290942
FGRRES_09252	-1.248039	5.643291	0.05524989	0.1077303
FGRRES_09254	-1.823567	6.565893	0.001111956	0.003968451
FGRRES_09255	-0.641116	1.793793	0.3695616	0.4852229
FGRRES_09257	0.07660569	5.338247	0.8883373	0.9215375
FGRRES_09258	-2.775551	5.857457	0.0002654358	0.001156473
FGRRES_09259	0.2887757	3.671286	0.6765199	0.760644
FGRRES_09260	3.75608071998388	7.29885542750824	1.53392464274424e-08	1.8538623772498e-07
FGRRES_09261	-1.049839	4.640193	0.05347101	0.1049405
FGRRES_09262	-0.4837198	2.75775	0.4633263	0.5755386
FGRRES_09263_M	-0.1739996	4.863622	0.7645397	0.8336714
FGRRES_09264	1.496621	2.979876	0.01791694	0.04229068
FGRRES_09265	-0.1437041	5.630282	0.779335	0.8440837
FGRRES_09331	-1.324477	1.921547	0.06147959	0.117575
FGRRES_09333	-1.413614	3.455639	0.02647296	0.05870679
FGRRES_09335	8.86603422610872	4.49820830159402	3.52820340161743e-37	2.39322446985962e-35
FGRRES_09336	4.99063847425775	3.91295740646427	1.80562219314583e-10	2.96466227870071e-09
FGRRES_09337	-1.074121	3.28808	0.08643958	0.1544238
FGRRES_09338_M	-0.6864932	5.871037	0.2182529	0.3224474
FGRRES_09339	-0.7302704	4.708721	0.1961479	0.297155
FGRRES_09340	-0.9467429	6.168999	0.1241102	0.2066218
FGRRES_09341	-0.8498797	8.406187	0.1554046	0.2464717
FGRRES_09342	-3.78077915176647	7.77432333091258	9.23112873461503e-09	1.1635939623319e-07
FGRRES_09343_M	0.8586737	1.540157	0.2198975	0.3243033
FGRRES_09344	0.365576	3.932227	0.5732577	0.6742053
FGRRES_09345	-3.347316	1.515429	0.0006913289	0.00264004
FGRRES_09347	0.4796352	2.862035	0.4603227	0.5724627
FGRRES_09348_M	1.33626	1.811959	0.08080718	0.1464596
FGRRES_09350	-2.175736	2.26844	0.007065161	0.01934118
FGRRES_09351	-3.57646986334658	8.7768954480869	1.97521199669959e-08	2.32001902599358e-07
FGRRES_09352_M	-2.53126059402929	5.41657811801378	4.38701271245423e-06	3.04426144298374e-05
FGRRES_09353	9.2400860257696	5.7340570117694	1.6723597800416e-94	2.79232626042946e-92
FGRRES_09354	0.1840874	1.057107	0.3076743	0.4211362
FGRRES_09357_M	-0.9112246	4.131933	0.1067872	0.1836124
FGRRES_09358	-2.174226	1.475224	0.01335743	0.03314317
FGRRES_09359	0.150913	6.629199	0.7843125	0.8485837
FGRRES_09360	2.080848	4.663567	0.0002165039	0.0009657693
FGRRES_09361	2.91813772285044	6.67947319877152	1.34429261103001e-05	8.17344969608332e-05
FGRRES_09362	0.5038864	5.794524	0.3413093	0.4569738
FGRRES_09363	1.164002	4.288232	0.0487938	0.09736332
FGRRES_09364	2.81791416735047	5.51523595275158	2.66528392446656e-07	2.51096583613156e-06
FGRRES_09365	-0.4346902	5.622058	0.4044654	0.5212758
FGRRES_09366	0.1232613	10.26061	0.837633	0.8863914
FGRRES_09367	-1.566654	5.63902	0.0128112	0.03197056
FGRRES_09368	-0.9326495	4.887857	0.07789135	0.1420048
FGRRES_09370	1.085393	2.713821	0.1641284	0.2578956
