Variants	Induction>1.5	M.RNAseq	M.H3K4me2	M.H3K4me3	M.H3K27me3	M.H3K36me3	GC content
185.167	2.864632984	2098	5000	6684	41822	42102	44.836
135.167	NA	2155	5305	7188	44616	46014	45.776
46.3333	1.747885402	3665	9076	10371	45595	44666	45.496
147.833	1.646851762	22727	5995	8054	42449	46127	46.54
170.333	NA	115575	28926	46289	8029	26243	49.036
119.5	NA	8728	27066	30989	9718	39322	49.688
274.167	NA	9303	5714	7786	36279	44631	47.148
365.667	1.64124057	1193	5553	7463	42755	43760	45.964
164.833	NA	1447	10045	14402	38504	44792	47.292
181.833	NA	4852	19342	15653	36553	43618	47.736
139.833	3.637747336	1314	9538	15885	33130	42574	48.7
222.333	NA	2206	5820	7338	41420	49684	47.388
196.667	NA	15220	5736	7386	43170	45934	45.768
87.8333	NA	3840	8248	8323	39295	49177	49.128
119.333	NA	2627	5688	7530	42632	48599	47.44
192.833	NA	3309	15910	13449	39927	43083	45.216
78.5	NA	3031	7012	8360	45414	47252	45.96
